Account Name,County (service area),Billing Street,Billing City,Billing State,Billing Code,Contact Name,Organization type,Priority,Outreach status,Who they serve,Website,Notes / partnership details
St. Vincent de Paul CARES - Polk County,Polk County,,,,,St. Vincent de Paul CARES - Polk County,Nonprofit,High,Email Sent,Veterans and non-veterans experiencing homelessness,https://www.svdpsp.org/service-areas/polk-county/,Strong candidate for veteran and family referrals.
Talbot House Ministries,Polk County,,,,,Talbot House Ministries,Nonprofit,High,Email Sent,Individuals and families experiencing homelessness or housing instability,https://talbothouse.org/affordable-housing/,Rapid rehousing is by referral from the Homeless Coalition of Polk County.
Heart for Winter Haven - Housing Partnership of Winter Haven,Polk County,,,,,Heart for Winter Haven - Housing Partnership of Winter Haven,Nonprofit,High,Email Sent,"Vulnerable families facing housing instability, eviction risk, or homelessness",https://www.heart4wh.org/hpwh,Good relationship target for family placements and landlord collaboration.
Catholic Charities of Central Florida - Family Stability Program,Polk County,,,,,Catholic Charities of Central Florida - Family Stability Program,Nonprofit,High,,"Men, women, and families at risk of homelessness or experiencing homelessness",https://cflcc.org/financial-assistance/family-stability-program/,"Program says up to $1,000 rental help and up to $500 utility help, case-manager reviewed."
United Way of Central Florida 211,Polk County,,,,,United Way of Central Florida 211,Nonprofit,Medium,,"Residents needing emergency housing resources, security deposit help, and landlord-tenant support",https://uwcf.org/211/,"City of Lakeland page says 211 coordinates emergency housing, deposit assistance, and landlord-tenant resources."
The Salvation Army of Winter Haven / East Polk,Polk County,,,,,The Salvation Army of Winter Haven / East Polk,Nonprofit,Medium,Email Sent,Residents in financial hardship at risk of homelessness,https://winterhaven.salvationarmyflorida.org/winterhaven/ways-we-help-1/,Included by Polk rental-assistance resource as an application-taking agency.
"Agricultural and Labor Program, Inc. (ALPI)",Polk County,,,,,"Agricultural and Labor Program, Inc. (ALPI)",Nonprofit,Medium,Email Sent,Income-qualified Polk County residents needing rental assistance,https://www.alpi.org,Included by Polk rental-assistance resource as an agency accepting applications.
Homeless Services Network of Central Florida,Orange County,,,,,Homeless Services Network of Central Florida,Nonprofit,High,,"Families, veterans, youth, survivors, people with disabilities, households experiencing homelessness",https://www.hsncfl.org,Regional system lead for Orange and Osceola.
Coalition for the Homeless of Central Florida,Orange County,18 N Terry Ave,Orlando,FL ,32801,Coalition for the Homeless of Central Florida,Nonprofit,High,Email Sent,"Men, women, children, and families experiencing homelessness",https://www.centralfloridahomeless.org,Good partner for diversion and family stabilization conversations.
Christian Service Center,Orange County,808 W Central Blvd,Orlando,FL ,32805,Christian Service Center,Nonprofit,High,,Individuals and families struggling with homelessness or poverty in Central Florida,https://www.christianservicecenter.org/downtownorlando,City of Orlando page confirms emergency financial assistance.
Catholic Charities of Central Florida - Family Stability Program,Orange County,,,,,Catholic Charities of Central Florida - Family Stability Program,Nonprofit,High,,"Men, women, and families at risk of homelessness or experiencing homelessness",https://cflcc.org/financial-assistance/family-stability-program/,Requires household income and limits on amount owed / eviction status.
Samaritan Resource Center,Orange County,9837 E Colonial Dr,Orlando,FL ,32817,Samaritan Resource Center,Nonprofit,Medium,,Adults experiencing homelessness in East Orange County,https://samaritanresourcecenter.org/services/,Best fit for referral visibility and case-manager relationships.
Matthew's Hope Ministries,Orange County,611 Business Park Blvd #101,Winter Garden,FL,34787,Matthew's Hope Ministries,Nonprofit,Medium,,"Homeless men, women, and children in Orange County",https://www.matthewshopeministries.org/ourstory,Good for bridge-housing conversations even though it is not an emergency shelter.
Orange County Crisis Assistance Program,Orange County,,,,,Orange County Crisis Assistance Program,County program,Medium,,Orange County households with recent financial crisis and past-due housing costs,https://ocfl.net/FamiliesHealthSocialSvcs/CrisisAssistanceProgram.aspx,"Government option rather than nonprofit, but still relevant for fund flow."
Orange County Housing Choice Voucher / TBRA,Orange County,,,,,Orange County Housing Choice Voucher / TBRA,County program,Low,Email Sent,Very low-income households using rental vouchers,https://www.orangecountyfl.net/NeighborsHousing/RentalAssistance.aspx,Page says the Housing Choice Voucher waiting list is not currently accepting applications.
Salvation Army Orlando Social Services,Orange County,,,,,Salvation Army Orlando Social Services,Nonprofit,Medium,,Households in emergency need,https://orlando.salvationarmyflorida.org,City of Orlando page confirms emergency financial assistance.
Homeless Services Network of Central Florida,Osceola County,142 E Jackson St,Orlando,FL ,32801,Homeless Services Network of Central Florida,Nonprofit,High,Email Sent,"Families, veterans, youth, survivors, people with disabilities, households experiencing homelessness",https://www.hsncfl.org,Important relationship for countywide referrals.
Osceola County Homeless Services,Osceola County,1392 E Vine St,Kissimmee,FL,34744,Osceola County Homeless Services,County program,High,,"Residents at risk of homelessness, doubled-up households, households in extended-stay hotels, families with children",https://www.osceola.org/Services/Housing-Programs/Homeless-Services,Government option but highly relevant to your use case.
Osceola County CDBG Emergency Rental Assistance Program,Osceola County,,,,,Osceola County CDBG Emergency Rental Assistance Program,County program,Medium,,Low-income residents in danger of homelessness outside Kissimmee city limits,https://www.osceola.org/Services/Housing-Programs/Community-Development-Block-Grant/CDBG-Emergency-Rental-Assistance-Program,Can help only if assistance brings household current.
Osceola County Security / Utility Deposits Rental Assistance,Osceola County,,,,,Osceola County Security / Utility Deposits Rental Assistance,County program,High,Email Sent,Eligible residents seeking residence in rental housing within Osceola County,https://www.osceola.org/Services/Housing-Programs/SHIP/Security-andor-Utility-Deposits-Rental-Assistance,"Program states assistance up to $1,500 combined or separately depending on eligibility."
Catholic Charities of Central Florida - Family Stability Program,Osceola County,,,,,Catholic Charities of Central Florida - Family Stability Program,Nonprofit,High,,"Men, women, and families at risk of homelessness or experiencing homelessness",https://cflcc.org/financial-assistance/family-stability-program/,Holy Redeemer in Kissimmee is listed as one service location.
Osceola Council on Aging - Building Strong Families,Osceola County,,,,,Osceola Council on Aging - Building Strong Families,Nonprofit,High,,Low-income Osceola families with school-aged children at risk of homelessness,https://osceolagenerations.org/building-strong-families/,Program focuses on families with school-aged children.
Osceola Council on Aging - Housing Stability Program,Osceola County,,,,,Osceola Council on Aging - Housing Stability Program,Nonprofit,Medium,,Osceola households with children in unstable housing and loss of income,https://osceolagenerations.org/building-strong-families-housing-stability-program/,Page currently says applications are not being accepted; still worth tracking.
